song id, 歌曲名, 艺术家
410055760,Fall Into Me,Arrient/Evoke
399341219,Nightwalker,Emmanuel Cassiers
37988126,Persistence,Madza
399340466,Paradiso,Dead Gravity
30951467,Feelings,JPB/Mendum
31260954,Dream,Drop Tower/Martin Luther King Jr.
412187169,Triad,Egzod
411214217,Darkness,Catas/Reeck
411315864,All Along,Vorsa
412187223,Danger,Z.Λ.R.B/Stephanie Kay
412175203,Holland (Inukshuk Remix),Outwild/Glass Face
410518558,Fallen Memories,Sceptrum
409647524,Found (VIP),2 Senses
32574663,We Are One (Noise Killerz Remix),Noise Killerz/Krewella
410802809,Thundersound,Bass Farmers/VMP/Terrain
410802806,Fall Into Me (Chettar Remix),Chettar/Arrient/Evoke
34723926,Hide (Sex Whales Remix),Anna Yvette/Spag Heddy/Whales
407459174,Rain,Sacred
32737758,Our Madness,Blure/Car.
31452405,Sirin,Class-x
406346935,Destiny,Zyphen
40915416,Haze,Drakonic
37095770,Everything About You (Sauniks Remix),Sauniks/The Blizzard & Yuri Kane
406330097,Heaven (Party Pvffs Remix),Party Pvffs/KSHMR/Shaun Frank
408055387,Despair (Original Mix),Dreamcather
406737964,Feels (Jai Wolf Remix),Jai Wolf/Kiiara
405597766,Night Travels,Mintorment
38679822,With You (Noise Killerz Remix),Noise Killerz/Dirty South
405599203,Transmission (Elder Planet Remix),Elder Planet/Dritic/Vextacy
406072148,Colour,Etti
406730204,Feelings (feat. Kelis),Kelis/Z.Λ.R.B
37955154,Fade (Espenz Remix),Espenz/Holly Drummond
405987445,Dead in Dull (Original Mix),Puls Garney
403710452,Devils Sap,ProtosoniX
401382181,Crying Soul (Original Mix),DubTeddy/NIRI
39227966,Blazers (Original mix),Cartoon
36089312,Spitting Fire,Ryan Exley
407002829,We Are From The Future,High Massive/Osanzi
32924099,Tears,KTSG
31680358,Eye Of The Storm,The Paragon Axis/Laura Hahn
38019009,Panic (Eckoh Remix),Eckoh/Phantom Sage/Detrac
41650520,Augury,Dimatis
38391780,Metropolis,Nyte
406737301,Among The Stars,Sacred
35497624,The Awakening,Silencyde/KISNOU
406330129,Beautiful Day (Resonance Remix),Resonance/Misael Gauna
400689469,Who Do U Think U Are (feat. Molly Williams),Nicky Boy
31654299,Over Again (Remix),T-Mass/Lisa Rowe/Culture Code
403136280,Give Me Your Love (Vocal Remix),Lucienmusique
39443390,Puru - Homura (SprightS Remix),Puru/SprightS
33166711,Portal,J.G.F.
36271387,How You Love Me (Espenz Remix),Espenz/3LAU/Bright Lights
406316215,You & I (Killa Hurts Remix),INF1N1TE/Killa Hurts
36025622,Time is the Enemy,Synx/SharM
405372753,Nothing Yet,haven
406346986,Mechaheart,Synx
406347929,Shock,Nardis
28530596,Break The Heart,Chrillmix
38019790,Oblivion (Original Mix),Dreamcather
38018782,Winds (Original Mix),Dreamcather
38019791,Shades (Original Mix),Dreamcather
403012383,Mere Moment,The Real Viper
406086015,Fade,Etti/Sacred
406086021,I Am (Original Mix),Outwild
405597912,I'm Over It,DownFlex/Valoriz
405597856,New Beginnings (Full Version),Andreas B.
405597764,Sleep,Kozmoz/Liquid Memoirs
405599640,Can't Stay,Equalize
404783347,Look to the Stars,Thomas Hood/Synthis
405079951,These Days,West District
30569017,The Edge,Electro-Light/Kathryn MacLean
39227584,Sands Of TIme,Exogenesis
1388165542,Never Be Alive,Beatcore
1388165536,Come Too Far,Beatcore/Ashley Apollodor
1419442657,Don't Forget Me,Sullivan King/Wooli
523046088,Missin' U,Floatinurboat
1403013137,Hateful Love,Floatinurboat
461080426,Broken (Fadent & Soar Remix),Fadent/atlas/Floatinurboat/Soar
427373450,Monody (Floatinurboat Remix),Floatinurboat
410518497,Spirit Of Things,Floatinurboat/Mona Moua
1354670936,Cosmic,Parousia
1342052837,Forever More (feat. Sky Roses),Afterlite/Sky Roses
447076169,Monody (Last Heroes x Mynerva Remix),Last Heroes/TheFatRat/Laura Brehm/Mynerva
1416675107,Silver Lining (feat. KARRA),ARMNHMR/Karra
1416675104,The Universe Is Yours (feat. Micah Martin),ARMNHMR/Micah Martin
1416675100,Bulletproof,ARMNHMR
1416675099,Forever Young (feat. Melanie Fontana),ARMNHMR/Melanie Fontana
1418381607,One That Got Away,Jason Ross/Dabin/Dylan Matthew
1418381612,Letting Go,Jason Ross/RUNN
1388845089,Darkside,Parousia/CATCHTAIL/Spaceport Records
424477862,Terms and Conditions (Crystal Skies Remix),Color Source/Crystal Skies/Ashley Apollodor
1419448378,Body Back (MitiS Remix),Gryffin/Maia Wright/MitiS
1383780261,LA Never Says Goodbye,Kayzo/ARMNHMR/Kyle Pavone
36190665,Fire Inside (Sauniks Remix),Sauniks/Gemini/Greta Svabo Bech
1410775641,Here With Me (feat. Nevve),ARMNHMR/Nevve
408055097,Fade (Sunday Service Remix),$unday $ervice/Adventure Club/Zak Waters
1382366117,Turns To Dust (Ryan Exley Remix),Sound Surfer/Verso/Ryan Exley
553815184,Eclipse,Burgess/JESSIA
1418381606,When The Night Falls,Jason Ross/Fiora
446508126,Far Away,Ento/Bao The Whale
1415736301,One That Got Away (with Dylan Matthew),Jason Ross/Dabin/Dylan Matthew
1415736300,1000 Faces (with Dia Frampton),Jason Ross/Dia Frampton
1321597315,Without Me (Nurko & Miles Away Remix),NURKO/Miles Away/Halsey
451701396,High Tide (Nurko Remix),NURKO/Creaky Jackals/WILD
1418381609,Shelter,Jason Ross/Melanie Fontana
1403700764,Flatline (feat. Calivania),Blanke/Calivania
1405248539,Over You (feat. Lena Leon),Wooli/Lena Leon
1400369392,Mercy,MitiS/glasscat
1365711550,Unspoken,Oliverse/Elle Exxe
1401179677,Feels Right (feat. RUNN),Crystal Skies/RUNN
1401899906,Phoenix (Blanke Remix),英雄联盟/Blanke
1399660914,For You,Au5
1396157324,Mirrors,MitiS
1396158062,Home (feat. Niko Athanasatos),MitiS/Nick Warner
1304760930,Quiet Lies,V!RTU
436487803,Drowning,Excision
1321840928,Galaxies,Xandar/Melanie Fontana
1336856743,Tonight,NURKO/Luma
453492007,Rolling Dice (Last Heroes Remix),Last Heroes/Just A Gent
1382942105,Alive (MitiS Remix),Dabin/RUNN/MitiS
1371711946,All You Need To Know (Jason Ross Remix),Gryffin/SLANDER/Calle Lehmann/Jason Ross
1387849025,Oxygen,Excision/Wooli/Trivecta/Julianne Hope
1388969113,Hollow,Blanke
523041028,Sagittarius,Xan Griffin/Alexa Lusader
1381082777,Till the End (feat. Misdom),NURKO/Misdom
1329122074,Keys (feat. Heather Sommer),William Black/Heather Sommer
550138210,Million Birds,NURKO/Elle Vee
33343543,Days to Come (Coyote Kisses Remix),Coyote Kisses/Seven Lions
33035609,All Alone (Seven Lions Remix),Superbus/Seven Lions
519935056,I Wish,William Black/Skylr
862100907,On My Own,Far Out/Karra
39224603,All In A Day,Danny Chen
31645178,Stay with Me,Christina Grimmie/Diamond Eyes
33875938,Let It All Out (Xan Remix),Xan/Kap Slap/Angelika Vee
1311571565,Altitude,Dabin/Fytch
31452306,Air,Skyvoice
34723763,Glow (Ryan Exley Remix),Ryan Exley/Satellite Empire
36308977,Eternal Way,Whales/Fraxo
36307911,Colors,Minnesota
1309792971,You Don't Even Know Me,RIOT/SLANDER
556207171,Let You Go,Savoy
548648032,Lights,Dabin/TRØVES
573495647,Calling You Home (feat. Runn) (Crystal Skies Remix),Seven Lions/RUNN/Crystal Skies
548649025,Ocean,Seven Lions/Jason Ross/Jonathan Mendelsohn
27630190,Strangers,Seven Lions/Myon/Shane 54/Tove Lo
29600426,Beautiful (Electrocisum Remix),Marc Lawrence/Electrocisum
431096337,Mastodon (KOALASTEP & Kadenza Remix),KOALASTEP/Milk N Cooks/Alina Renae/Kadenza
414979630,Heart Afire,Defqwop/STRIX
447281380,Spirit Of Things,Floatinurboat
32823984,Anchor (Mich Remix),Mich
32737396,Dead V,Nightcall/Dreamhour
1300565417,Home,Excision/Dion Timmer
400690504,Wormhole,RadasK
31452110,Akisame VIP,ParanorM̶e̶o̶w̶/Mary Elizabeth Wurthman
401250545,Fall A Thousand Times (Synx remix),Synx/Crystal Skies/Ashley Apollodor
39224662,The Garden of Memories,Miro/Noctilucent
34766655,Contact,Dimatis
458725357,Mistakes (VIP),MadRats/Kanashiro
27525653,Alone (Au5 & Fractal Remix),Singularity/Au5/Fractal
27910126,Summer Ashes (VIP),Kevin Drew/Taryn Manning
41650525,Shiny Worlds,Dimatis
424264259,Fragments,Dimatis
410519494,Not A Monster,Luan Otten
437292343,Say Goodbye,NEXLA
417250765,Ten Thousand Years Won't Save Your Life (Soare Remix),Soare/Hammock
31452310,Luminescent,Skyvoice/Sparkle
399954057,Thunderclap (William Black Remix),William Black/Adventure Club
400689434,Lost (Original Mix),Bones Noize
471385192,Sound Of The Falling Stars,Animadrop/Aeris
464188014,Capture (Electromagnetic Blaze Remix),Magiic
34690622,Angelic,ĐESƬFLΛSH
408332707,Usagi dream,Sanaas
1468125789,Feel It All,Kompany
458231706,Interstellar (Ben Walter Remix),Ben Walter/Hans Zimmer
436346043,From Which I Cannot Breathe (Ben Walter Remix),Ben Walter/Aeris
1401537581,Cry,Ben Walter
463842441,Suppression,Ben Walter
486837410,Seen It All Before (Ben Walter & TOM. Remix-Cover),Bring Me the Horizon/Ben Walter
491294467,Hunter (Ben Walter Remix),Ben Walter/Galantis
480411055,I Won't Forget This (Ben Walter Edit),Ben Walter/Whales/Omri
480411059,Fuse (Ben Walter Remix),Ben Walter/Crywolf
1451831039,Among Us (Dotyo Remix),Dimatis/Dotyo
1466327604,Interstellar,ci0t
1462851916,Change the World,Xaia/Rain Man/Oly
535685788,Concrete Angel (MitiS Remix),Christina Novelli/Gareth Emery/MitiS
1459166096,Faith (Aaron Shirk Remix),NURKO/Dia Frampton
573577057,Go Higher,Terravita/Chime/Akylla
1464703409,因为你(TSAR Remix),TSAR/OneCandy/张叶蕾/Aou
1460083791,Lullaby,Crystal Skies/Luma
1460791953,Shatterpoint,David Scorz
1462537832,Wasteland (Au5 & Chime Remix),Trivecta/Au5/Chime
1419183726,Save Myself,xo sad/Mendum
1462537833,Wasteland (Wooli Remix),Trivecta/Wooli
1422606666,Long Way Home (Last Heroes Remix),Tritonal/HALIENE/Schala/Jorza
1342955242,Broken from the Start,Ben Walter/Ento/Matt Rysen/Niti
1421550255,Fading Away,Aaron Shirk/Aaron Trinh
1462779033,Light Inside of Me (Remix),David Scorz
1460725267,In A Dream,Man Cub/Svrcina
1460725265,East Of Eden,Man Cub
1460722710,Good Enough,Man Cub/jen
1393159513,Happy To Be Sad,izzi/AILIA李璐迦
29816723,Medicine (Sound Remedy Remix),Sound Remedy/Daughter
1398699606,Silver Lining (feat. KARRA),ARMNHMR/Karra
1457720137,Running Away,Koreskape/Sky Roses
1458539060,IAMADEMON,TSAR
1457708161,Shooting Star,DJ Soda
1456102972,Rescue,HGHLND/Luke Anders
1455397393,Light Inside of Me (Ilysm Remix),Nytrix/Ilysm
1455394939,Light Inside of Me (PatFromLastYear Remix),Nytrix/PatFromLastYear
1455397392,Light Inside of Me (Pitagora Remix),Nytrix/Pitagora
1455394936,Light Inside of Me (Dvrkcloud Remix),Nytrix/Dvrkcloud
1449295455,Let Light Out (feat. Sunnie Williams) (Kazlo Remix),ARMNHMR/Sunnie Williams/Kazlo
1449294566,Infinite (feat. Saint Slumber) (Adam Pearce Remix),ARMNHMR/Saint Slumber/Adam Pearce
1449295452,Here With Me (feat. Nevve) (Culture Code Remix),ARMNHMR/Nevve/Culture Code
1450163041,Take Me Back,tofû/Sias
1442744348,Fragile Violence (yetep Remix),Blanke/Nevve/yetep
1449686323,The Force,Ben Walter/Ian Urbina
1443491832,Living With Regret,ROY KNOX/Shiah Maisel
1450025636,Never Let Me Go,Alesda!
39443010,Tide,Foria
1406380180,Falling To Pieces,David Scorz
417859684,Our Weapons (Abandoned Remix),Abandoned/DM Galaxy/Q'AILA
1446768732,Flatline,Sullivan King/Kai Wachi/GG Magree
1361723091,Chasing,MayTrix
1447960500,The Collapse,Electus
1444612986,Goodbye,Au5/NOHC
1441110458,Rebellious,Adventure Club/Yuna
1441589382,TIME FLIES,弓长君(wave)/WhiteSpace
1437005295,Wrong To Let You Go,Man Cub/APEK/April Bender
1434793140,Save You (feat. Megan Stokes),Riot Ten/Whales/Megan Stokes
528273689,Falling,Awakend/Pauline Herr
1343696454,Hold Onto Me,Awakend/Herrin/Sara Skinner
1436802582,Disruption (Misfit Massacre Remix),Extra Terra
426026431,STYX HELIX (SprightS Remix),SprightS/MYTH & ROID
558560727,The way we were,SprightS
1437840248,我们被扼杀的白天 VIP,黑正真
1451132000,Save You (feat. Megan Stokes),Riot Ten/Whales/Megan Stokes
1418253725,Doubt You,Rival/CADMIUM/Natalie Holmes
529824871,Sun Won't Rise (MayTrix Remix),MayTrix/Seven Lions
419254458,Lunar,MayTrix
410628538,Lucid (Jeto Remix),Atlantic/Slyleaf/Jeto
498321282,Our World (Jeto Remix),Polarr/Biên/Jeto
1438364281,Potions (Blanke Remix),SLANDER/Said The Sky/JT Roach/Blanke
1438363679,Potions (Au5 Remix),SLANDER/Said The Sky/JT Roach/Au5
1363816363,Crush on You,Alesda!
1363814897,Back to You,Alesda!
1437149818,Feel Something,ILLENIUM/Excision/I Prevail
1419363360,Eternal Galaxy,Dotyo
1419363655,Lion Heart,Dotyo
1392976774,Red Comet,Dotyo
1419348454,Collision,Dotyo
1422527340,Awake,Dotyo
534066332,Answers (Lite & Soar Remix),Astrale/Lite/Soar
1369404655,Nightmare (Nurko & Miles Away Remix),NURKO/Miles Away/Halsey
412911579,Promise,Miro/Satellite Empire
1424678018,Love Ain't Changin (ETERNALDUALS Remix),GhostDragon/Caslow/Red Comet/Alina Renae/Eternalduals
1424249835,The Universe,Lost Paper
1429601886,Shattered (feat. RUNN),MitiS/RUNN
1429601885,Home (feat. Niko Athanasatos),MitiS/Niko Athanasatos
1429602656,Shattered (feat. RUNN) (Culture Code Remix),MitiS/RUNN/Culture Code
1316616572,Shiver,Mendum
1316617495,Preludium,Mendum
1316616571,Endless,Mendum
1316616570,Special,Mendum
1316616569,Invasion,Mendum
1316617497,Momentum,Mendum
1420948750,Deep Blue (feat. Monika Santucci) (Nurko Remix),William Black/Monika Santucci/NURKO
409931674,Goodbye To A World (Dr. Deimos & Runetooth Remix) [2015 VIP],Dr. Deimos/Runetooth
1424216182,Only Now (feat. Tyler Graves),Seven Lions/Tyler Graves
1416398126,Introspection (Original Mix),Dezolent/Rapzor
513360743,Need You (Arrient Remix),Arrient/Ember Island
36019635,Disarm You (Arrient Remix),Arrient/Kaskade
469410925,For Miles & Miles (Original Mix),MitiS
864639378,Together Now,Arc North/Polarbearz/Camilla Neideman
520461831,Frost,Synymata/Miss Mary
1391587396,ULTRA (Crystal Skies Remix),ARMNHMR/Focus Fire/Heather Sommer
420500605,Oceans (Astral Remix),Astral/Hillsong
1372927536,Peace (QUIX Remix),Alison Wonderland/QUIX
1306694069,Nothing Else Matters,Giraffe Squad/Tyler Shamy
1340087394,Never Be (feat. AXYL),Giraffe Squad/AXYL
1327013975,So Far Gone,NURKO/Autrey
546724457,For Miles & Miles,MitiS/Party Nails
1329164028,Coming Home,William Black
1358414119,Back To You (feat. Josh Rubin),ARMNHMR/KLAXX/Josh Rubin
27813582,Got You Now,Sizzle Bird
505820217,Letting Go,William Black/Park Avenue
1381054826,Drown the Sky (feat. RØRY),William Black/RØRY
1299563521,Take Me,William Black/Matte/RUNN
1336535961,BLIND,TSAR
29808749,You & Me,Diamond Eyes
1357947620,Stars,Diamond Eyes
550285732,Everything,Diamond Eyes
1367524424,Potions,SLANDER/Said The Sky/JT Roach
1346162168,Ocean (Crystal Skies Remix),Ella Vos/Crystal Skies
1349078023,Another Day,Dabin/Outwild/Nevve
1366098786,-The Loneliest Girl (TSAR / Carole & Tuesday Remix)（TSAR Remix）,TSAR
403711528,Spirals,ILLENIUM/Sound Remedy/Dana Salah
403710537,It’s All on U,ILLENIUM/Liam O'Donnell
403711526,Fortress,ILLENIUM/Joni Fatora
403710535,Reverie,ILLENIUM/Dana Salah
1343088900,Infinite Summers (Avnav Remix),Aash Mehta/Lydia Kelly
1343088903,The Call (Ghostdragon Remix),Aash Mehta/Andy Sandrick
554245642,Everybody Hates Me (Kuur & Exede Remix),Kuur/Exede/The Chainsmokers
513363324,Waiting,We Are Fury/Olivia Lunny
467166490,Abroad,Boxinbox & Lionsize
1366277275,No More Tears Left,ARMNHMR/Soar
1366277276,ULTRA,ARMNHMR/Focus Right/Heather Sommer
1366277278,Save Me,ARMNHMR/Blosso
1307739706,On My Mind,Qulinez/Christina Novelli
517566080,We Won't Leave You (Wild Cards Remix),Steve Void/Wild Cards/Syence
571340581,Won't Come Back,ARMNHMR/Jex/Convex
437859137,Ocean Eyes (Young Bombs Remix),Young Bombs/Billie Eilish
1359719100,Starry Eyes (Steerner Remix),Young Bombs/Steerner
573240023,Grow,Joakim Lundell/Tom Noah
1341903396,Make A Promise (feat. Elle Vee),Culture Code/Elle Vee
1359718310,Pray (Blanke Remix),ILLENIUM/Kameron Alexander/Blanke
550137229,Lost Time,Wild Cards
1329891159,Without Me (ILLENIUM Remix),Halsey/ILLENIUM
1297747560,Take You Down,ILLENIUM
1322338635,This Feeling (Afrojack & Disto Remix),The Chainsmokers/Kelsea Ballerini/Afrojack/DISTO
493042529,Magic on You,TinyC/Trixidy
1323987109,God Damnit,ILLENIUM/Call Me Karizma
1318731523,VESK GREEN - Escape (MASTER) 2,VESK GREEN
1317457541,对不起,Panta.Q 郭曲/周深
865451337,Gold (Stupid Love),Excision/ILLENIUM/Shallows
546722488,Moments,MitiS/Adara
550712208,Mine (Bazzi vs. Young Bombs Remix),Bazzi/Young Bombs
501220696,How U Like Me Now,Savoy/Roniit
556204229,Out of the Dark,BEAUZ/Luke Anders/Elle Vee
35031379,那儿，家,foldin
34834741,Time Stops (feat. Danyka Nadeau),Virtual Riot/Danyka Nadeau
33111560,Beautiful Now (KDrew Remix),Zedd/Jon Bellion/KDrew
422094263,Alone,Nyte
28636040,Hero,Pegboard Nerds/Elizaveta
411214032,Chances (ST4RBUCK Remix),ST4RBUCK/Evilwave/Jay Jacob
33765301,Born Alive (Mashup Remix),MitiS/Krewella
33765318,Born in Clarity (DirtyMight MashUp),MitiS/Zedd/Foxes
438904025,Ascension (XI Vayne Mix),xI/MitiS
33071119,Beneath Us (Original Mix),MitiS/SubLioN
33418878,Pluto (Drop Tower Remix),Drop Tower/Nyte
473742434,If It Means A Lot To You (Cherney Remix),Cherney/ADTR
27903692,Radioactive,William Joseph
31284010,We Rise,San Holo
36024644,My House (Sullivan King Remix),Sullivan King/PVRIS
30432081,Skrillex Medley,Katdrop
28723886,Shadow Of The Sun (Adventure Club Remix),Max Elto/Adventure Club
456175243,Move for Me (Hex Cougar Remix),Hex Cougar/Kaskade/deadmau5
26486731,Boss Wave,Xilent
401250572,Somewhere Far Away (Original Mix),Drop Tower
31514310,If Only You,Drop Tower
507585221,Where'd U Go,ILLENIUM/Said The Sky
403711527,Sleepwalker,ILLENIUM/Joni Fatora
400581350,Afterlife (feat. Echos),ILLENIUM/Echos
491295042,Fractures (Trivecta Remix),ILLENIUM/Nevve/Trivecta
405599648,Don't Let Me Down (ILLENIUM Remix),ILLENIUM/The Chainsmokers/Daya
26278741,Born (Original Mix),MitiS
26278742,Endeavors (Original Mix),MitiS
422419111,Crossed Paths,Elektronomia
473940907,Sound of Walking Away,ILLENIUM/Kerli
507585217,Free Fall,ILLENIUM/RUNN
38019092,Lifeline,Zeraphym 六翼使徒
425053702,taylor swift - I Knew You Were Trouble（jack1936bootleg）（Jack1936 remix）,Jack1936
26250196,Medicine (Sound Remedy Remix),Sound Remedy/Daughter
33365020,Slipping Away (Myrne Remix),MYRNE/Cheney/BH
489998002,Step by Step,Slushii
28803640,Follow You (Rootkit Remix),Au5/Danyka Nadeau/Rootkit
27750089,Starlight (Collin McLoughlin Remix),Don Diablo/Matt Nash/Collin McLoughlin
26610785,I Knew You Were Trouble (Dubstep mix),DJ PRS/Taylor Swift
514052560,病名は愛だった (TSAR Remix),TSAR/柚子茶
1473593211,If,acaer/AIKA/Airuei/Anemoi/Kotori/Polarr/Similar Outskirts/Slappy/Soba/Synthion/Tenkitsune/Trifect/Winamp Boys
1472807768,All Night (Slowed N Reverb),The Vamps/Matoma
1470891756,Another Me (Whales Remix),Excision/Dylan Mathew/Seven Lions/Wooli/Whales
1388286226,Take Your Time (feat. Satellite Empire),Last Heroes/Satellite Empire
1388286228,Moments,Last Heroes
1347227961,Another Day,Dabin/Outwild/Nevve
1304848496,Dreamin' (feat. Fiora),Seven Lions/Fiora
