2134617295,Anyone,JOSS
2135329358,Getaway,Afinity
2141679556,Portal (Tom Konway remix),Casey Cook
2146113530,后冰期,"CNHKSS, Shaw_Tyan"
2125160790,Daydreams,Zarka
2128967498,Firefly,SeHou
2137824676,Starlight (Davsky Remix),"Sky Max, MissArtistApril, YurinaKuma, Davsky"
2137720505,Lie (Tretone Remix),"Tretone, William Black"
2129336303,What's Up? (feat. Lzzy Hale),"White Panda, Lzzy Hale"
2118948179,Let Me Go (RITIX Remix),"CADMIUM, CVDMIUM, Anica, RITIX"
2126401412,Crazy,"Flöte, Violyt"
2125430010,Blame,Sullivan King
2121739421,Fractured,"OBLVYN, Roseanna"
2122718140,Jaded,laikd
2118059600,Lifeline (feat. Meggie York),"Crystal Skies, Meggie York"
2102257032,もしも,"ナナツカゼ, PIKASONIC, Dankidz"
2721296719,Dahlia (feat. 初音ミク),Mwk
2718815341,Deserve Better,"DILA, Wisner"
2702760427,Photon Beam,DenPelm
2721798097,Voidwalker’s Wrath,"JYOTIN, Saw2Win"
2719029539,Fragments (feat. Malin Horsevik & SPIRIT LINK) (Sped Up),"Stardust, Malin Horsevik, SPIRIT LINK, Nightcore Star"
2716221972,Sub Zero (Sped Up),"Stardust, Nightcore Star, Rezzaie"
2716750139,However Long [Slowed + Reverb],"Stardust, Behwnm, Mehromero, Hylia, Slowed Star"
2717161547,云端数据已丢失（The Wavers Remix）,"Flowesans, 李昊天VastSky"
2717146497,云端数据已丢失（7-60 Remix）,"7-60,, 李昊天VastSky"
2703844575,Get Out,SPIRIT LINK
2713634769,Nothing,LHP Unicorn
2713637355,Unreal Reality,LHP Unicorn
2714771745,Stranger (Morva Remix),Morva
2714756106,I'm Gone (Lightfighter x RHOELE Special Mega Mashup),"Lightfighter, RHOELE"
2714689479,"DreamRecD, Echo-I, Oops Guess, Said The Sky, Terry Zhong, CVBZ, Lightfighter, No-One CN - 镌刻 (Lightfighter 致高考 Mashup)",Lightfighter
2704066129,Hiraeth,致命节奏（Deadly Rhythm）
2693192155,Buried Alive,"Vodenik, Dreamcode, Dani King"
2696005395,Sidelines,"Kevin Moffat, Elix"
2671144569,Won't Let Me Go,aurial
2702571044,Space Between,Bumpÿ
2686478593,LOGIN,Desx
2705829831,Dopamine,OBLVYN
2709248285,Tend To You,Dion Timmer
2708093024,Dragon Fruit,Alibilan
2706298743,Broken Mirror,"Wayne Ryan H, The Ninth Day Records"
2705634403,Back 4 U,Hypnotized
2704319247,Shadows,SadBois
2702169624,All I Knew Was You,"Cloudy Parallels, Marvello"
2706602321,ひゅるりらぱっぱ (Ryuklear Remix),Ryuklear
2699567660,Afterglow,GISHIN
2704125802,Como Hago [Slowed + Reverb],"Slowed Star, DserT, Deiv, Stardust"
2706298555,Hoobastank - The Reason (Acer Vantes Remix),Acer Vantes
2699010322,TIME (feat. DOIL),"Mass Panic, DoiL"
2699978599,You and Me,M Ryo
2702997718,If I Go Too Crazy,"RN11157, 星尘纪之声"
2690935357,Worth It (feat. RITIX & Zoe Fox) (Nightcore),"Nightcore To The Moon, RITIX, Zoe Fox"
2691771945,Before U Go,"WAYWHEN, Eli Blue"
2701161401,Don't Leave Me,SVNCTUARY
2702288009,Seek After,Todayday
2702283802,"Honestly, We Just Need Jesus (Guy Coolid Remix)",Guy Coolid
2700464172,Falling,OBLVYN
2692462183,Looking Up,"Hidden Axis, Memory Thorn, Luma"
2695229239,Somewhere Better,"waytides, JONJEN, Monika Santucci"
2674500845,I'll Always Be Your Home Ft. Dindin,"LazyMario, Dindin"
